Comments,Company,Date,GeneralScore,LMScore
"b'I hope I am not pissing into the manipulative program trading winds \n\n$SPY, $QQQ, $NDX, $DIA, $IWM, $NFLX, $FB,... https://t.co/M7387OgkaD'",$INTC,11/28/2018,0,-0.071428571
b'Private Advisor Group Has Raised By $2.08 Million Its Mondelez Intl $MDLZ Position; Brown Brothers Harriman &amp; Co Ha... https://t.co/JjtII5xoQQ',$INTC,11/28/2018,0.071428571,0.066666667
b'Why is the DOW up 550-points the SPX-500 up ~50.50 points and the Nasdog up 168-points and the VIX is only down 0.1... https://t.co/U92vrBsg5Y',$INTC,11/28/2018,-0.333333333,0
b'More bad publicity on $GS\n\nSouth Korea regulator hits Goldman with fine over short selling\n\nhttps://t.co/0L95myk7V3... https://t.co/NQ5mwBpi3W',$INTC,11/28/2018,-0.166666667,-0.166666667
"b""which event will provide the next market drive after Mr. Powell's speech? $SPY $DIA $UCO $GLD $IWM $XLK $XLE $XLF... https://t.co/yrEFxbmey5""",$INTC,11/28/2018,0.055555556,-0.058823529
"b'Botty Investors Trimmed Its Position in Intel $INTC by $467,950 as Stock Declined; Foundry Partners Has Lowered Us... https://t.co/EKfvfuaFnW'",$INTC,11/28/2018,0,0
"b'As Intel $Call $INTC Share Price Declined, Hap Trading Has Decreased Position by $388,800; Lennar $LEN Holder Matli... https://t.co/pbBRckjfZY'",$INTC,11/28/2018,0.0625,0
b'The margin is expected to hit 19% next year:  https://t.co/PsztihtmBg #Semiconductors #Intel $INTC #Samsung #tech #electronics',$INTC,11/28/2018,-0.076923077,0
b'RT @_jockr: A Company Few Americans Know Is About to Dethrone Intel  https://t.co/RR4ar0ozjE $intc',$INTC,11/28/2018,0.222222222,-0.125
"b'With past performance like this, how can you not sign up for a Free 7-day trial to https://t.co/VCXt7brsXF? Winning... https://t.co/sUzk0d0mVR'",$INTC,11/28/2018,0.166666667,0
b'$INTC Intel - has been trading below the $49 (200 dma) neckline of a inverse head and shoulders pattern for a long... https://t.co/xMbQMvgrbx',$INTC,11/28/2018,0,0
b'*AMAZON ANNOUNCES NEW AMAZON MACHINE LEARNING CHIP (BBG) $NVDA $AMD $INTC $XLNX',$INTC,11/28/2018,0.083333333,0
b'Some minor hits so far chip names $NVDA $AMD $INTC https://t.co/EmkOOrTqks',$INTC,11/28/2018,0,0
b'$AAL $INTC $WDC $HA We have income producing Covered Calls at https://t.co/WQVT8KKsBp  Take a peek and subscribe for free. Thanks.',$INTC,11/28/2018,0.307692308,0
b'$AAL $INTC $WDC $HA We have income producing Covered Calls at https://t.co/WQVT8KKsBp  Take a peek and subscribe fo... https://t.co/TMOT5UkCZY',$INTC,11/28/2018,0.166666667,0
b'$INTC @ $48.64\nClosed Nov30 $47 P @ $0.06',$INTC,11/28/2018,0,-0.333333333
b'Average sentiment (from SeekingAlpha Editors):\n$AMD: 0.78(1) $GOOG: 0.84(1) $AMZN: 0.41(1) $INTC: 0.21(1) $TSLA: 0.31(3)',$INTC,11/28/2018,0,0
b'Average sentiment (from SeekingAlpha Comments):\n$AMD: 0.25(47) $GOOG: 0.50(1) $FB: 0.02(32) $AMZN: 0.21(33)... https://t.co/BBlzF4gOqD',$INTC,11/28/2018,0,0
b'Average sentiment (from Twitter):\n$AMD: 0.35(164) $GOOG: 0.25(81) $FB: -0.17(178) $MMM: -0.17(6) $CAT: -0.20(1... https://t.co/gihDYtzmse',$INTC,11/28/2018,0,0
b'Dead and Buried: Total Household Debt Rises for 17th Straight Quarter -- my latest article for @crushthestreet... https://t.co/hvNSuhORYG',$INTC,11/28/2018,0,0
b'#Fed #federalreserve $GLD $SLV $QQQ $DJIA $DIA $BTC $ETH $SPY #stockmarket #commodities #investing #finance #stocks... https://t.co/DABjcyyJ2O',$INTC,11/28/2018,0,0
"b'From the desk of @HalftimeReport\nVolumes- extremely light\nVolatility- holding\nThe 2 drivers of the markets,FED&amp;G20... https://t.co/aDh1RqSQpS'",$INTC,11/28/2018,0,-0.1
b'$INTC up 1.2% to 48.64 following our trade setup notice Tue. Nov 27 after the market close  #swingtrading  https://t.co/fxE47YUneN',$INTC,11/28/2018,0,-0.090909091
"b'Geez  Da Fed Da Fed, every morning the ""neutral"" interest is different? ranging from heaven &amp; hell? $ES_F $NQ_F $FB... https://t.co/aYj3mTM9qV'",$INTC,11/28/2018,-0.2,0
b'RT @d4ytrad3: $AMD really worth eyeing for move back to green;\n\nPowell ++ comments so far\n#Bitcoin ++ (incremental uptick in demand)\nand $I...',$INTC,11/28/2018,0.214285714,0
b'$AMD really worth eyeing for move back to green;\n\nPowell ++ comments so far\n#Bitcoin ++ (incremental uptick in dema... https://t.co/B4aM457hiZ',$INTC,11/28/2018,0.230769231,0
b'Contrasting Intel $INTC &amp; Xperi $XPER  https://t.co/5IlHdn7xib',$INTC,11/28/2018,0,0
"b""OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: https://t.co/IIsYJxTrqR It's... https://t.co/UQXdhb3SSH""",$INTC,11/28/2018,0.25,-0.083333333
"b'seems like everyone is piling into $amzn today, buying the dips on $aapl.\nOnly $amnz is green, rest if $FANG all re... https://t.co/8qJhDHhFC6'",$INTC,11/28/2018,0.214285714,0
b'Loaded up on $INTC on this recent pullback after breaking out of 17 year base.  Largest position in my long term ac... https://t.co/EKRQv7Yrey',$INTC,11/28/2018,0,0
b'Social Sentiment Indicator: Try this stock market indicator... https://t.co/ixNaqCnyis $GLD $SLV $QQQ $DJIA $DIA... https://t.co/jYPc6ye3op',$INTC,11/28/2018,0.071428571,0
b'$NVDA Dont Miss This Chance to Buy into the NVDA Stock Weakness https://t.co/THwrqfl0l9 $SLV $GLD $QQQ $DJIA $DIA... https://t.co/ky9sVxbiR6',$INTC,11/28/2018,0,-0.133333333
b'#Apple Stock Wont Make You Much Money over the Next Few Years https://t.co/WmE3N1AURe $SLV $GLD $QQQ $DJIA $DIA... https://t.co/RnpObvOzeU',$INTC,11/28/2018,0,0
b'$GE Is It Time to Say Goodbye to General Electric Stock? https://t.co/wZmuCUAqpN $SLV $GLD $QQQ $DJIA $DIA $BTC... https://t.co/0UTF5MLIuW',$INTC,11/28/2018,0.066666667,0
b'#estate asset watch- price x volume leaders this morning - $AMZN $AAPL $CRM $AMD $MSFT $BABA $NVDA $NFLX $FB $BA... https://t.co/tTlWOl3aeU',$INTC,11/28/2018,0.0625,0
"b""RT @MarketStatisti1: Markets reaction to Chairman Powell's speech on Wednesday? $SPY $DIA $UCO $GLD $IWM $XLF $XLK $XLE $XLU $XLV $XLP $XLY...""",$INTC,11/28/2018,0,0
b'$0939.HK $BX $GS $H $IBM $INTC:\n\nBring Me TariffsHow Trump and Xi Drove Their Countries to the Brink of a T...:\n\nhttps://t.co/aNyPeBTXe9',$INTC,11/28/2018,0,0
"b'THIS CHART SHOWS A GOOD SIGN FOR TECH STOCKS, BUT THE BEAR IS READY TO POUNCE $AMZN $AAPL $MSFT $GOOG $GOOGL $CRM... https://t.co/a9q89Xp0I1'",$INTC,11/28/2018,0,0.0625
"b'RT @AlextradingJd: $intc really interesting here, 200 daily sma has been acting as strong resistance, if we go above it and form a nice bas...'",$INTC,11/28/2018,0.153846154,0.083333333
b'Baxter Bros Has Boosted Its Intel $INTC Position by $1.12 Million; Valuation Declined; Unitedhealth Group $UNH Shar... https://t.co/4BqV4wVEo0',$INTC,11/28/2018,0.071428571,0.071428571
b'Rhumbline Advisers Has Trimmed Intel Corp Com $INTC Position by $5.36 Million as Valuation Declined https://t.co/vBbH3M5EHJ',$INTC,11/28/2018,0.083333333,0
b'Guardian Investment Management Has Boosted Its Position in Intel $INTC as Stock Price Declined; Dudley &amp; Shanley St... https://t.co/LWc1SppSXD',$INTC,11/28/2018,0.142857143,0.066666667
b'$SMH finding resistance at the descending channel high.\n$NVDA $MU $AMAT $INTC $AMD https://t.co/HbEf6lul4o',$INTC,11/28/2018,0,0
"b'RT @BrodmannOTC: $IGPK :: Stop sign coming down, and 15 acre CBD test plant all set! \n\n$SLV $GLD $QQQ $DJIA $DIA $BTC $ETH $SPY #stockmarke...'",$INTC,11/28/2018,0.05,-0.052631579
b'#estate asset watch - most active stocks this morning - $AMD $GE $AFSI $AAPL $CRM $MSFT $CMCM $BAC $F $GSM $VALE... https://t.co/4srrII4RKI',$INTC,11/28/2018,0.0625,0
b'RT @EmergingGrowth1: $GDET featured in https://t.co/nC1ZEOHUB5 article on #Bitcoin #BitcoinATM and #Cryptocurrency\nhttps://t.co/aEeg6fWVE7...',$INTC,11/28/2018,0,0
b'$GDET featured in https://t.co/nC1ZEOHUB5 article on #Bitcoin #BitcoinATM and #Cryptocurrency... https://t.co/D8gm0QLavD',$INTC,11/28/2018,0,0
"b'$INTC @ $47.96 \nClosed Nov30 $48 P @ $0.45\nSold Dec21 $47 P @ $0.90\nCredit $0.45, DTE 23 days'",$INTC,11/28/2018,0,-0.125
b'20 DMA Support today: $PTC $KBE $INCY $DNP $ALLK $DEI $S $SMTC $AXTI $BZQ $BMRN $INTC $HRL $MIXT $VNDA $OEC $EMES... https://t.co/vW8TYBiG5S',$INTC,11/28/2018,0.05,0
b'RT @davidmoadel: The American Middle Class is Shrinking..... (Evidence with #Government Statistics) https://t.co/LMHDUjgH8T $SLV $GLD $QQQ...',$INTC,11/28/2018,0,0
b'RT @davidmoadel: Social Sentiment Indicator: Try this stock market indicator... https://t.co/ixNaqCnyis $SLV $GLD $QQQ $DJIA $DIA $BTC $ETH...',$INTC,11/28/2018,0.058823529,0
b'Social Sentiment Indicator: Try this stock market indicator... https://t.co/ixNaqCnyis $SLV $GLD $QQQ $DJIA $DIA... https://t.co/xpYEpWrdKW',$INTC,11/28/2018,0.071428571,0
"b'Its time to sell into rallies, bear market or not https://t.co/hqgRi3ep7Q $SLV $GLD $QQQ $DJIA $DIA $BTC $ETH $SPY... https://t.co/XTogqxkL13'",$INTC,11/28/2018,0,0
"b'Stock markets selloff is only half-done, and final leg will come in 2019 https://t.co/aXUkWNsZLa $SLV $GLD $QQQ... https://t.co/fYdAJbvwAq'",$INTC,11/28/2018,0.153846154,-0.076923077
b'$INTC:\n\nDigiTimes: Intel CPU shortage easing in Q1:\n\nhttps://t.co/ynHQtFgcON',$INTC,11/28/2018,0,-0.285714286
b'Why the bloodletting in FAANG stocks is just getting started https://t.co/YMhnPfybck $SLV $GLD $QQQ $DJIA $DIA $BTC... https://t.co/BI4zgIaJ1e',$INTC,11/28/2018,0,0
b'Average sentiment (from SeekingAlpha Comments):\n$AMD: 0.27(46) $FB: 0.02(44) $AMZN: 0.21(33) $INTC: -0.75(2)... https://t.co/TdydrxyRBg',$INTC,11/28/2018,0,0
b'Average sentiment (from SeekingAlpha Editors):\n$AMD: 0.89(2) $GOOG: -0.05(4) $FB: -1.00(1) $AMZN: 0.41(1) $INTC... https://t.co/AxzukMrd5u',$INTC,11/28/2018,0,0
b'Average sentiment (from Twitter):\n$AMD: 0.65(66) $GOOG: 0.08(39) $FB: -0.36(94) $MMM: -0.50(4) $CAT: 0.14(7)... https://t.co/t0gnRvQyaJ',$INTC,11/28/2018,0,0
b'#NASDAQ100 pre-market: $MSFT $AAPL $AMZN $GOOGL $FB $INTC $PYPL $NFLX $TSLA $FOXA $ADBE\nhttps://t.co/jX9Rhz7dgC https://t.co/cfWACBEoXs',$INTC,11/28/2018,0,0
b'$intc https://t.co/GMdMVC6ydy',$INTC,11/28/2018,0,0
"b'Microsoft, Intel und Walgreens Boots Alliance: Diese Titel aus dem Dow Jones .. https://t.co/gbDRVjT7vE $INTC $MSFT $WBA'",$INTC,11/28/2018,0,0.0625
b'$INTC:\n\nMajor Semiconductors See Mixed Bag in Short Interest Report:\n\nhttps://t.co/kwARS4IFxS',$INTC,11/28/2018,-0.125,0
b'9 at 9TM  11/28/18 https://t.co/bFglWUpOe8 via @market_scholars #9at9 #premarket\n\n $CRM $NTNX $BURL $W $DKS $OKTA... https://t.co/XdM1TJSn5n',$INTC,11/28/2018,0,0
b'$INTC Intel Corporation https://t.co/jx6nNYiNJL\nSupport       47.91    46.47    46.44    45.93    45.86    43.78\nRe... https://t.co/oigRqc1MQD',$INTC,11/28/2018,0,0
b'RT @UPBOptionMil: Some of todays top open interest changes 11.28.18   $GE $AAPL $AMRN $INTC $X $GME $MSFT https://t.co/EyFfLin4PJ',$INTC,11/28/2018,0.153846154,0
b'@CNBCFastMoney $INTC--- GOT DOWNGRADE. COMING BELOW 40 SOON',$INTC,11/28/2018,0.166666667,-0.166666667
b'The 10 Most Shorted Nasdaq Stocks https://t.co/X9biDdVgas $SIRI $AMD $CZR $QCOM $CMCSA $TXMD $OPK $SBUX $INTC $MAT',$INTC,11/28/2018,-0.066666667,0
"b""$CEO $CFO $INTC Intel's Interim CEO Dives Deep Into the Chip Shortage Situation https://t.co/cLY3uvU5QJ""",$INTC,11/28/2018,-0.083333333,-0.083333333
"b""Yesterday's distribution of $SPX #stocks: $AAPL $AMZN $FB $GOOGL $AMD $NVDA $TSLA $INTC $WMT $ORCL... https://t.co/XHtpURNw6M""",$INTC,11/28/2018,0,0
b'RT @ivan_brussels: Intel presents at Credit Suisse 22nd annual TMT conference- transcript $INTC \n\nhttps://t.co/0e12dfelr4 https://t.co/65Rs...',$INTC,11/28/2018,0.153846154,0
"b'Verity Asset Management Holding in Intel $INTC Lowered by $719,418; Dominion Rsrcs Va $D Shareholder Outfitter Advi... https://t.co/MzrjUPgVpE'",$INTC,11/28/2018,0.076923077,0
"b'$SOXL is positioning early for the ""Dont Call It A Comeback"" &lt; cuz they been here! (*If you are seeking #AI future... https://t.co/llVGNlLaVu'",$INTC,11/28/2018,0.3,0.1
b'Who Pays This Multiple? Not Me!!\n\n$aapl $amzn $agn $brk $crm $cmg $dis $esrx $f $googl $hlf $iep $ibm $jnj $ko $pep... https://t.co/BDMFTUUgrD',$INTC,11/28/2018,0.055555556,0
b'Some of todays top open interest changes 11.28.18   $GE $AAPL $AMRN $INTC $X $GME $MSFT https://t.co/EyFfLin4PJ',$INTC,11/28/2018,0.166666667,0
"b'Genesee &amp; Wyo $GWR Shares Rose While Goodnow Investment Group Lowered Stake by $527,310; Intel $INTC Holder Country... https://t.co/KkWI8neNQO'",$INTC,11/28/2018,0,0
b'RT @EmergingGrowth1: Great Bitcoin Article on https://t.co/nC1ZEOHUB5\nhttps://t.co/aEeg6fWVE7\n$GDET $SQ $AMD $NVDA $RIOT $MGTI $MSFT $INTC...',$INTC,11/28/2018,0.083333333,0.076923077
b'Great Bitcoin Article on https://t.co/nC1ZEOHUB5\nhttps://t.co/aEeg6fWVE7\n$GDET $SQ $AMD $NVDA $RIOT $MGTI $MSFT... https://t.co/PvFyIxSkzy',$INTC,11/28/2018,0,0.083333333
b'RT @JBizzle703: $CELZ DD List Since May18\n\n#urology #stemcells #erectiledysfunction #health\n$AAPL $GOOG $INTC $AMZN $MSFT $XOM $DIS $HSY $N...',$INTC,11/28/2018,0,0
b'Intel CPU Shortages May Ease in Q1 2019 $INTC https://t.co/7rVawdrhfA',$INTC,11/28/2018,0,-0.285714286
"b'$intc is forming a base here, it touched again the sma(200) since I made the last post and it got rejected, right k... https://t.co/XUlggP6tr1'",$INTC,11/28/2018,0,-0.076923077
b'Intel $INTC CPU shortfalls are expected to ease significantly in early 2019 - Digitimes\n\nhttps://t.co/mmsuEFYISP',$INTC,11/28/2018,0.222222222,-0.2
b'Greylin Investment Mangement Lowered Its Stake in U S G $USG by $25.14 Million; Greenwood Capital Associates Upped... https://t.co/MrXTY2LGX4',$INTC,11/28/2018,0,0
b'A Company Few Americans Know Is About to Dethrone Intel  https://t.co/RR4ar0ozjE $intc',$INTC,11/28/2018,0.285714286,-0.142857143
b'Average sentiment (from Twitter):\n$AMD: 0.29(15) $GOOG: -0.23(23) $FB: -0.35(58) $MMM: -0.76(3) $CAT: 0.33(3)... https://t.co/ULus8FgK9X',$INTC,11/28/2018,0,0
b'price x volume leaders Tuesday - $AMZN $AAPL $NFLX $NVDA $MSFT $AMD $BABA $TSLA $FB $UTX $GOOGL $GOOG $ORCL $INTC... https://t.co/o2ewW4EM5j',$INTC,11/28/2018,0,0
"b""RT @davidmoadel: Wall Street Takes a Bite Out of #Apple Estimates Amid Trump's Tariff Talk https://t.co/RUpdSjQ5Ko $SLV $GLD $QQQ $DJIA $DI...""",$INTC,11/28/2018,-0.117647059,0
b'most active stocks Tuesday - $AMD $GE $AAPL $BAC $F $T $MSFT $PBR $ORCL $SIRI $AMRN $VALE $INTC $MU $GM $X $ECA... https://t.co/ezTHqPTAvV',$INTC,11/28/2018,0,0
b'most active options Tuesday - $AAPL $AMD $GE $BAC $FB $NVDA $BABA $X $AMZN $MSFT $NFLX $TSLA $T $MU $CRM $VALE... https://t.co/buq3wCPAZ8',$INTC,11/28/2018,0.0625,0
b'Average sentiment (from Twitter):\n$AMD: 0.54(26) $GOOG: 0.10(36) $FB: 0.24(58) $MMM: -0.65(2) $CAT: 0.65(2)... https://t.co/IWU1LJs2PA',$INTC,11/28/2018,0,0
b'$AAL $INTC $WDC $HA We have income producing Covered Calls at https://t.co/WQVT8KKsBp Take a peek and subscribe for... https://t.co/QHBnSkz9O6',$INTC,11/28/2018,0.166666667,0
b'Analysts Expect Intel Co. $INTC Will Post Quarterly Sales of $19.01 Billion https://t.co/0M54h1ga8h',$INTC,11/28/2018,0.1,-0.1
b'Analysts Expect Intel Co. $INTC Will Post Quarterly Sales of $19.01 Billion https://t.co/fRM4xOqEYc #stocks',$INTC,11/28/2018,0.090909091,-0.090909091
b'15 Artificial Intelligence Stocks Leading the New Wave https://t.co/eK6X0T4SXP $GOOGL $AMZN $FB $MSFT $INTC $NVDA $MU $IBM $ISRG $BIDU $CLDR',$INTC,11/28/2018,0.0625,0
b'$INTC trading signals (45%/45%)\nAverage sentiment: 0.05(56)\nT-0: Sell\nT-1: Sell\nT-2: Buy\nT-3: Sell\nT-4: Sell',$INTC,11/28/2018,0,0
b'Average sentiment (from Twitter):\n$AMD: 0.71(37) $GOOG: 0.52(56) $FB: 0.36(89) $MMM: 0.41(2) $CAT: 0.44(6)... https://t.co/MJI8wZNyse',$INTC,11/28/2018,0,0
b'#nice day $GOOGL $FB $JPM $C $BAC $WFC $AAPL $PM $PG $GE $HON $JNJ $CSCO $MSFT $INTC $TWTR $TSLA $V $DIS $UNH $VZ... https://t.co/T17PkSUroQ',$INTC,11/28/2018,0,0
"b'Bullish swing trade setups for Wed, Nov 28 include $INTC $XLU $DNR $IYR $SO  #stocks https://t.co/VmZxBTg4RZ'",$INTC,11/28/2018,0,0
b'RT @WallStJesus: $INTC https://t.co/OhgOGKEZWo',$INTC,11/28/2018,0,0
b'Comportamiento en el ano de 10 acciones mas compradas en Estados Unidos $NYSE $NQ:\n\n$AMZN $AAPL $FB $GOOGL $NFLX... https://t.co/1qV6UuXuAZ',$INTC,11/28/2018,0,0
b'$INTC just looked at this. That weekly looking pretty bearish',$INTC,11/28/2018,0.285714286,0
b'$INTC https://t.co/OhgOGKEZWo',$INTC,11/28/2018,0,0
b'@Investingcom $AAPL $FB $INTC',$INTC,11/28/2018,0,0
b'Weds1 $CRM $AAPL $AMZN $AMD $FB $GOOGL $ADBE $BABA $BA $BOX $DIS $CVS $DKS $HEAR $INTC $I $MSFT $MA $KSS $ANY... https://t.co/4VbsHMLmSR',$INTC,11/28/2018,-0.058823529,0
b'$NVDA vs $INTC https://t.co/BjUoVAGXa3',$INTC,11/28/2018,0,0
b'Average sentiment (from Twitter):\n$AMD: 0.59(56) $GOOG: 0.45(71) $FB: 0.13(121) $MMM: 0.29(4) $CAT: 0.11(12)... https://t.co/9ZP8nL1OVa',$INTC,11/28/2018,0,0
b'As Expected - Shorts Roasted Yet Again.\n$F $GE $SQQQ $FB $X $C $DGAZ $BA $XBI $ADSK $BIDU $SPOT $JNJ $ABT $GS $EWG... https://t.co/LdQ7ksOgVc',$JNJ,11/28/2018,-0.125,0
"b""@warren_tt $JNJ 144C sold for $50 yesterday closed today $2600. \n\nI am this bad, who's going to sign up? You? LoL""",$JNJ,11/28/2018,-0.090909091,-0.2
"b'Wednesday was the fourth climbing session in a row for $JNJ, marking 3.68%.'",$JNJ,11/28/2018,0,0
b'Traders Sell Johnson &amp; Johnson $JNJ on Strength Following Insider Selling https://t.co/55EW2rQEMq',$JNJ,11/28/2018,0,0.090909091
b'Investors Sell Johnson &amp; Johnson $JNJ on Strength Following Insider Selling https://t.co/imEtajfC4J',$JNJ,11/28/2018,0,0.090909091
b'BOLD &amp; Fraudulent #Irish #Allergan Defended Restasis Revenues Longer Than Expected But Generic Drops Are Imminent!... https://t.co/KG3jQlXikf',$JNJ,11/28/2018,-0.142857143,-0.214285714
b'@Latrilife @orthereaboot Unethical companies abusively fight discovery this way. \nEx: I can relate it back to my st... https://t.co/U3sI5WtWuU',$JNJ,11/28/2018,0,-0.153846154
b'RT @SwatOptions: $JNJ yesterday gave you long at 141s... today run into 146s https://t.co/I0FEF3kESQ',$JNJ,11/28/2018,-0.111111111,0
b'$JNJ Showing a bullish sequence from May 2018 low and ideally will be looking for new all time highs... https://t.co/jA2ThchC8L',$JNJ,11/28/2018,0,0
b'$JNJ Ended 3 waves pullback and now resuming higher supporting $XLV #elliottwave https://t.co/J5mGLIU32O',$JNJ,11/28/2018,0.090909091,0
b'$XLV managed to break November peak opening a new sequence higher toward $96.13 - $97.85 area #elliottwave $JNJ',$JNJ,11/28/2018,0.076923077,-0.076923077
b'Nueva posicion alcista en valor del DJIA: $JNJ https://t.co/reZYjN7aZi https://t.co/qIztjmEH42',$JNJ,11/28/2018,0.111111111,0
b'$JNJ - Winning Options trade idea by  Best Trading Ideas | 79.65 % return |  \n#TradeIdea\n https://t.co/kGMgTtcYQE',$JNJ,11/28/2018,0.272727273,0.181818182
b'$JNJ yesterday gave you long at 141s... today run into 146s https://t.co/I0FEF3kESQ',$JNJ,11/28/2018,-0.142857143,0
b'@Polixenes13 They need activist investors to get that ball rolling. The board will just flip on Musk and hand him t... https://t.co/zF7uUeENFU',$JNJ,11/28/2018,0.071428571,-0.071428571
b'Pay Me!\n$aapl $amzn $agn $brk $crm $cmg $dis $esrx $f $googl $hlf $iep $ibm $jnj $ko $pep $bhc $mnk $snap $wynn... https://t.co/BxqKBmvQ1h',$JNJ,11/28/2018,0,0
"b'5:20 mark of the Piper Jaffray fireside chat, listen to Piper Jaffray\'s analyst emphasis on the ""B"" in the 3.7 Bill... https://t.co/e2LaaUlQax'",$JNJ,11/28/2018,0,0
"b""It Wasn't A Rookie Mistake It Was Corruption! \n$aapl $amzn $agn $brk $crm $cmg $dis $esrx $f $googl $hlf $iep $ibm... https://t.co/Puc9EDBGxI""",$JNJ,11/28/2018,-0.166666667,-0.117647059
b'Largest $Notional Buy On Close Order Imbalances $CVS $JNJ $ZTS $SO $HLT $PVH $STZ $TWLO $HON $MA https://t.co/V7Aciy2vFa',$JNJ,11/28/2018,0.066666667,-0.133333333
b'Boehringer Ingelheim abandons biosimilar sales outside the US.. read why here.. https://t.co/fNyDp2ZrTR #pharma... https://t.co/xziaoWdK9i',$JNJ,11/28/2018,-0.2,-0.1
"b""Criminal What Occurred Today! Good Thing It's Not Sustainable! \n$aapl $amzn $agn $brk $crm $cmg $dis $esrx $f... https://t.co/TyBJV63MGz""",$JNJ,11/28/2018,0.066666667,0
b'Our Fed Reserve Chairman Needs To Be Investigated For Mkt Manipulation! \n$aapl $amzn $agn $brk $crm.$cmg $dis $esrx... https://t.co/CIy2iAVKiH',$JNJ,11/28/2018,-0.1875,-0.133333333
"b'Speaking of enhanced value, as @BioBoyScout mentioned to me. Look for an enhanced price target from Piper Jaffray.... https://t.co/KS8drUE3F2'",$JNJ,11/28/2018,0.25,0.166666667
b'#estate asset watch - price x volume leaders today - $AMZN $AAPL $MSFT $NFLX $FB $BABA $CRM $NVDA $AMD $GOOG... https://t.co/vRLTFyLTgM',$JNJ,11/28/2018,0.058823529,0
b'#estate asset watch - top Dow 30 gainers today $DIA - $BA $UNH $CAT $AAPL $V $HD $GS $MSFT $MMM $MCD $AXP $IBM $JNJ... https://t.co/RyHcnvl83Y',$JNJ,11/28/2018,0.055555556,0
"b'Tipos de gerencia Calls $COST y $JNJ. Nov 28, 2018 https://t.co/n2tnfg1Bab  @margara514 @camilopuentesf... https://t.co/D3e4pBxST8'",$JNJ,11/28/2018,0,-0.1
"b'@pt117cool Absolutely Mike. HP, keeping $ARWR investors motivated, reminding them of the positive monetary transact... https://t.co/hnEXCvA05s'",$JNJ,11/28/2018,0.166666667,0.083333333
"b'Height Securities highlighted eight drugmakers that would be particularly hit by the legislation, including big nam... https://t.co/3AkXG7FvHt'",$JNJ,11/28/2018,0.166666667,0
b'Eaton Vance Management Cut Johnson &amp; Johnson $JNJ Position; Gladstone Land $LAND Sentiment Is 2.44 https://t.co/meYwMJ44kC',$JNJ,11/28/2018,0.071428571,0
b'Can we take a second and appreciate how kick ass $JNJ been the last 2 days!? @AOTtrades @traderstewie https://t.co/P00sa1uqEl',$JNJ,11/28/2018,0,0
b'$JNJ tweezer top forming on 15 min. scalpy scalp time https://t.co/XzX50hqtvI',$JNJ,11/28/2018,0,0
b'$JNJ Jan 18th 145.00 put 2.64',$JNJ,11/28/2018,0,0
b'Short sale volume (not short interest) for $ACAD on 2018-11-27 is 62%. https://t.co/0m8L8dEwxg $LLY 42% $ADMS 56% $PFE 50% $JNJ 40%',$JNJ,11/28/2018,0,0
"b'First Heartland Consultants Cut By $668,767 Its Johnson &amp; Johnson $JNJ Stake; Rubius Therapeutics $RUBY Shorts Down... https://t.co/GtMsgNVNUY'",$JNJ,11/28/2018,0,-0.071428571
"b'As Corium International $CORI Stock Value Rose, Holder Opaleye Management Decreased by $2.12 Million Its Holding; B... https://t.co/K7KXnWGw5R'",$JNJ,11/28/2018,0.071428571,0
b'#Microsoft Back On Top - Largest Companies In The S&amp;P 500 $MSFT Also $AAPL $AMZN $GOOGL $BRK.B $FB $JNJ $JPM $XOM https://t.co/CLxz2xb4e9',$JNJ,11/28/2018,0.125,0
b'RT @Couzin_Vinny: $VZ setting @marketsmith alerts on positions $VZ $KO $JNJ https://t.co/kvB5OX842Q  need #volume now @IBDinvestors @Invest...',$JNJ,11/28/2018,0.076923077,0
b'@warren_tt $GOOGL up 4% when I was thinking and you stopped me. LoL\n\nI sold $AMZN way too early. Damn\n\nAnd my $JNJ... https://t.co/OXvwksBd20',$JNJ,11/28/2018,0,-0.083333333
b'Company Specific Valuations &amp; Fundamentals Still Matter! \n$aapl $amzn $agn $brk $crm $cmg $dis $esrx $f $googl $hlf... https://t.co/bgCXQUoUFo',$JNJ,11/28/2018,0,0
b'https://t.co/Ay4Yj8mjq7 &lt; Who is Steven Dux ??? $JNJ $PFE $GSK $LLY',$JNJ,11/28/2018,0,0
b'RT @StockTweetsHQ: BREAKING: Johnson &amp; Johnson $JNJ Research And Development Team Now Working With Terra Tech Corp $TRTC On New Strain Of C...',$JNJ,11/28/2018,-0.111111111,-0.117647059
b'$JPM and maybe $JNJ too',$JNJ,11/28/2018,0,0
b'Trade War Needs Resolved Soon Mr @POTUS @realDonaldTrump \n$aapl $amzn $agn $brk $crm $cmg $dis $esrx $f $googl $hlf... https://t.co/srXN6uLtUM',$JNJ,11/28/2018,-0.055555556,0.055555556
"b""Fed Turning Dovish So Soon Implies Things Haven't Been as Great Afterall! \n$aapl $amzn $agn $brk $crm $cmg $dis... https://t.co/p486mYjSaX""",$JNJ,11/28/2018,0,0.058823529
"b'The last thing billion dollar corrupt companies want is to produce discovery, allow executives to be deposed or hav... https://t.co/L65dK999fp'",$JNJ,11/28/2018,-0.066666667,-0.071428571
